Paper_ID,Bucket,Title,Authors,Year,Directness,Evidence_Quality,Transferability,Recency,Bucket_Relevance,Implementation_Value,Priority_Score,Tier,Primary_Link,Key_Finding,Reading_Status,Notes
1,A,Measuring Faithfulness in Chain-of-Thought Reasoning,Lanham et al.,2023,5,5,5,3,5,5,4.65,Tier 1,https://arxiv.org/abs/2307.13702,Foundational faithfulness methodology; Early Answering protocol,Not Started,
2,A,Making Reasoning Matter: Measuring and Improving Faithfulness,Lanham et al. / Paul et al.,2024,5,5,5,4,5,5,4.75,Tier 1,Findings of EMNLP 2024,Updated faithfulness framework; FRODO methodology,Not Started,"Same paper as #4 - different author listings"
3,A,Language Models Don't Always Say What They Think,Turpin et al.,2023,5,5,5,3,5,5,4.65,Tier 1,https://proceedings.neurips.cc/paper_files/paper/2023/file/ed3fea9033a80fea1376299fa7863f4a-Paper-Conference.pdf,36% accuracy drop with biasing; 15% unfaithful explanations have no errors,Not Started,
4,A,Making Reasoning Matter: Measuring and Improving Faithfulness,Paul et al. / Lanham et al.,2024,5,5,5,4,5,5,4.75,Tier 1,Findings of EMNLP 2024,Introduces FRODO framework for faithfulness,Not Started,"Same paper as #2 - different author listings"
5,A,Faithful Chain-of-Thought Reasoning,Lyu et al.,2023,4,5,4,3,4,4,4.2,Tier 2,https://arxiv.org/abs/2301.13379,Faithful CoT architecture (Translation → Solver),Not Started,
6,A,On Measuring Faithfulness or Self-Consistency,Paul & West,2024,4,4,4,4,4,4,4.0,Tier 2,ACL 2024,Self-consistency metrics for faithfulness,Not Started,
7,A,A Causal Lens for Evaluating Faithfulness Metrics,Ibrahim et al.,2025,4,4,4,5,4,4,4.2,Tier 2,https://arxiv.org/abs/2502.18848,Causal evaluation framework,Not Started,
8,A,TokenSHAP: Interpreting Large Language Models,Tsai et al.,2024,3,4,3,4,3,4,3.5,Tier 3,https://arxiv.org/abs/2407.10114,SHAP-based interpretation method,Not Started,
9,A,Faithful Group Shapley Value,Lundberg et al.,2024,3,4,3,4,3,4,3.5,Tier 3,https://openreview.net,Group Shapley for faithfulness,Not Started,
10,A,Benchmarking Instance-Level Faithfulness,FaithCoT-Bench,2025,4,4,4,5,4,4,4.2,Tier 2,https://arxiv.org/html/2510.04040v1,Faithfulness benchmarking dataset,Not Started,
11,A,The Probabilities Also Matter,ResearchGate,2024,3,3,3,4,3,3,3.1,Tier 3,https://www.researchgate.net/publication/384212923,Probability-based faithfulness metric,Not Started,
12,B,Simple Synthetic Data Reduces Sycophancy in Large Language Models,Wei et al.,2023,5,5,5,3,5,5,4.65,Tier 1,https://arxiv.org/abs/2308.03958,RLHF increases sycophancy 18% to 75%; mitigation strategies,Not Started,
13,B,Towards Understanding Sycophancy in Language Models,Anthropic,2024,5,4,5,4,5,5,4.7,Tier 1,https://arxiv.org/abs/2310.13548,Comprehensive sycophancy analysis,Not Started,
14,B,SycEval: Evaluating LLM Sycophancy,Fanous et al.,2025,5,5,5,5,5,5,5.0,Tier 1,https://arxiv.org/abs/2502.08177,Progressive 43.52%; Regressive 14.66%; clinical context,Not Started,
15,B,Echoes of Agreement: Argument-Driven Sycophancy,Kaur,2025,5,4,5,5,5,5,4.85,Tier 1,Findings of EMNLP 2025,Pylons of Agreement sequence; argument-driven,Not Started,
16,B,Beacon: Single-Turn Diagnosis and Mitigation of Latent Sycophancy,Pandey et al.,2025,5,5,5,5,5,5,5.0,Tier 1,https://arxiv.org/abs/2510.16727,Latent sycophancy via token probabilities,Not Started,
17,B,ELEPHANT and SYCON-Bench: Measuring Social Sycophancy,Hong et al.,2025,5,4,5,5,5,5,4.85,Tier 1,Findings of EMNLP 2025,Third-person framing reduces sycophancy 60%+,Not Started,
18,B,Truth Decay: Quantifying Multi-Turn Sycophancy,Liu et al.,2025,5,5,5,5,5,5,5.0,Tier 1,https://arxiv.org/abs/2503.11656,Multi-turn sycophancy quantification,Not Started,
19,B,Alignment Faking in Large Language Models,Anthropic,2024,4,4,4,4,4,4,4.0,Tier 2,Anthropic Whitepaper,Strategic deception in LLMs,Not Started,
20,B,Empirical Evidence for Alignment Faking in a Small LLM,Koorndijk,2025,4,4,4,5,4,4,4.2,Tier 2,https://arxiv.org/abs/2506.21584,Alignment faking in smaller models,Not Started,
21,B,Frontier Models are Capable of In-Context Scheming,Meinke et al.,2024,4,3,4,4,4,4,3.9,Tier 2,Apollo Research Technical Report,Scheming behavior in frontier models,Not Started,
22,B,AI Sandbagging: Language Models Can Strategically Underperform,Van der Weij et al.,2025,4,4,4,5,4,4,4.2,Tier 2,ICLR 2025,Strategic underperformance,Not Started,
23,B,Enhancing Multiple Dimensions of Trustworthiness via Sparse Activation Control,Zou et al.,2024,4,4,4,4,4,4,4.0,Tier 2,NeurIPS 2024,Representation Engineering for mitigation,Not Started,
24,B,Sycophancy Intervention Repository,Google Research,2024,3,3,4,4,3,5,3.7,Tier 3,https://github.com/google/sycophancy-intervention,Implementation resources,Not Started,
25,B,E18: Simple Synthetic Data Reduces Sycophancy in LLMs,Thenraj,2023,3,2,3,3,3,3,2.9,Tier 3,Medium article,Popular summary article,Not Started,
